Month,AQI
Jan,58.0
Feb,56.0
Mar,54.0
Apr,60.0
May,63.0
Jun,68.0
Jul,73.0
Aug,70.0
Sep,66.0
Oct,58.0
Nov,56.0
Dec,53.0
